Episode : 0, Q: tensor([0., 0.]), count : tensor([1, 0], dtype=torch.int32). 
Episode : 100, Q: tensor([0.1000, 0.8197]), count : tensor([40, 61], dtype=torch.int32). 
Episode : 200, Q: tensor([0.0952, 0.8365]), count : tensor([ 42, 159], dtype=torch.int32). 
Episode : 300, Q: tensor([0.1042, 0.8419]), count : tensor([ 48, 253], dtype=torch.int32). 
Episode : 400, Q: tensor([0.0926, 0.8415]), count : tensor([ 54, 347], dtype=torch.int32). 
Episode : 500, Q: tensor([0.1000, 0.8367]), count : tensor([ 60, 441], dtype=torch.int32). 
Episode : 600, Q: tensor([0.1094, 0.8268]), count : tensor([ 64, 537], dtype=torch.int32). 
Episode : 700, Q: tensor([0.1045, 0.8170]), count : tensor([ 67, 634], dtype=torch.int32). 
Episode : 800, Q: tensor([0.1351, 0.8198]), count : tensor([ 74, 727], dtype=torch.int32). 
Episode : 900, Q: tensor([0.1558, 0.8131]), count : tensor([ 77, 824], dtype=torch.int32). 
Episode : 1000, Q: tensor([0.1519, 0.8178]), count : tensor([ 79, 922], dtype=torch.int32). 
